Total Nacional;Comunidades y Ciudades Autónomas;Provincias;Nacionalidad;Sexo;Edad;Periodo;Total
Total Nacional;;;Total;Total;Todas las edades;2024;48.619.695
Total Nacional;01 Andalucía;;Total;Total;Todas las edades;2024;8.631.862
Total Nacional;01 Andalucía;29 Málaga;Total;Total;Todas las edades;2024;1.774.701
Total Nacional;01 Andalucía;23 Jaén;Total;Total;Todas las edades;2024;619.055
Total Nacional;01 Andalucía;04 Almería;Total;Total;Todas las edades;2024;760.964
Total Nacional;01 Andalucía;21 Huelva;Total;Total;Todas las edades;2024;535.734
Total Nacional;01 Andalucía;11 Cádiz;Total;Total;Todas las edades;2024;1.258.730
Total Nacional;01 Andalucía;41 Sevilla;Total;Total;Todas las edades;2024;1.968.624
Total Nacional;01 Andalucía;18 Granada;Total;Total;Todas las edades;2024;939.741
Total Nacional;01 Andalucía;14 Córdoba;Total;Total;Todas las edades;2024;774.313
Total Nacional;02 Aragón;;Total;Total;Todas las edades;2024;1.351.591
Total Nacional;02 Aragón;50 Zaragoza;Total;Total;Todas las edades;2024;987.763
Total Nacional;02 Aragón;44 Teruel;Total;Total;Todas las edades;2024;135.309
Total Nacional;02 Aragón;22 Huesca;Total;Total;Todas las edades;2024;228.519
Total Nacional;03 Asturias, Principado de;;Total;Total;Todas las edades;2024;1.009.599
Total Nacional;03 Asturias, Principado de;33 Asturias;Total;Total;Todas las edades;2024;1.009.599
Total Nacional;04 Balears, Illes;;Total;Total;Todas las edades;2024;1.231.768
Total Nacional;04 Balears, Illes;07 Balears, Illes;Total;Total;Todas las edades;2024;1.231.768
Total Nacional;05 Canarias;;Total;Total;Todas las edades;2024;2.238.754
Total Nacional;05 Canarias;38 Santa Cruz de Tenerife;Total;Total;Todas las edades;2024;1.078.864
Total Nacional;05 Canarias;35 Palmas, Las;Total;Total;Todas las edades;2024;1.159.890
Total Nacional;06 Cantabria;;Total;Total;Todas las edades;2024;590.851
Total Nacional;06 Cantabria;39 Cantabria;Total;Total;Todas las edades;2024;590.851
Total Nacional;08 Castilla - La Mancha;;Total;Total;Todas las edades;2024;2.104.433
Total Nacional;08 Castilla - La Mancha;19 Guadalajara;Total;Total;Todas las edades;2024;280.225
Total Nacional;08 Castilla - La Mancha;13 Ciudad Real;Total;Total;Todas las edades;2024;492.948
Total Nacional;08 Castilla - La Mancha;02 Albacete;Total;Total;Todas las edades;2024;389.070
Total Nacional;08 Castilla - La Mancha;45 Toledo;Total;Total;Todas las edades;2024;743.165
Total Nacional;08 Castilla - La Mancha;16 Cuenca;Total;Total;Todas las edades;2024;199.025
Total Nacional;07 Castilla y León;;Total;Total;Todas las edades;2024;2.391.682
Total Nacional;07 Castilla y León;09 Burgos;Total;Total;Todas las edades;2024;359.740
Total Nacional;07 Castilla y León;42 Soria;Total;Total;Todas las edades;2024;90.073
Total Nacional;07 Castilla y León;40 Segovia;Total;Total;Todas las edades;2024;156.620
Total Nacional;07 Castilla y León;34 Palencia;Total;Total;Todas las edades;2024;158.063
Total Nacional;07 Castilla y León;05 Ávila;Total;Total;Todas las edades;2024;160.463
Total Nacional;07 Castilla y León;49 Zamora;Total;Total;Todas las edades;2024;166.253
Total Nacional;07 Castilla y León;47 Valladolid;Total;Total;Todas las edades;2024;525.116
Total Nacional;07 Castilla y León;37 Salamanca;Total;Total;Todas las edades;2024;327.552
Total Nacional;07 Castilla y León;24 León;Total;Total;Todas las edades;2024;447.802
Total Nacional;09 Cataluña;;Total;Total;Todas las edades;2024;8.012.231
Total Nacional;09 Cataluña;25 Lleida;Total;Total;Todas las edades;2024;451.707
