Titularidad;Sexo;Comunidad autónoma/provincia;Curso;Total
TODOS LOS CENTROS;AMBOS SEXOS;00 TOTAL;Total;4,2
TODOS LOS CENTROS;AMBOS SEXOS;00 TOTAL;Primero;5
TODOS LOS CENTROS;AMBOS SEXOS;00 TOTAL;Segundo;4,5
TODOS LOS CENTROS;AMBOS SEXOS;00 TOTAL;Tercero;3,8
TODOS LOS CENTROS;AMBOS SEXOS;00 TOTAL;Cuarto;3,3
TODOS LOS CENTROS;AMBOS SEXOS;01 ANDALUCÍA;Total;6,4
TODOS LOS CENTROS;AMBOS SEXOS;01 ANDALUCÍA;Primero;7,8
TODOS LOS CENTROS;AMBOS SEXOS;01 ANDALUCÍA;Segundo;7,5
TODOS LOS CENTROS;AMBOS SEXOS;01 ANDALUCÍA;Tercero;5,7
TODOS LOS CENTROS;AMBOS SEXOS;01 ANDALUCÍA;Cuarto;4,1
TODOS LOS CENTROS;AMBOS SEXOS;Almería;Total;8,7
TODOS LOS CENTROS;AMBOS SEXOS;Almería;Primero;10,8
TODOS LOS CENTROS;AMBOS SEXOS;Almería;Segundo;9,8
TODOS LOS CENTROS;AMBOS SEXOS;Almería;Tercero;8
TODOS LOS CENTROS;AMBOS SEXOS;Almería;Cuarto;5,2
TODOS LOS CENTROS;AMBOS SEXOS;Cádiz;Total;6
TODOS LOS CENTROS;AMBOS SEXOS;Cádiz;Primero;6,8
TODOS LOS CENTROS;AMBOS SEXOS;Cádiz;Segundo;7
TODOS LOS CENTROS;AMBOS SEXOS;Cádiz;Tercero;5,6
TODOS LOS CENTROS;AMBOS SEXOS;Cádiz;Cuarto;4,2
TODOS LOS CENTROS;AMBOS SEXOS;Córdoba;Total;4,6
TODOS LOS CENTROS;AMBOS SEXOS;Córdoba;Primero;6,4
TODOS LOS CENTROS;AMBOS SEXOS;Córdoba;Segundo;5,3
TODOS LOS CENTROS;AMBOS SEXOS;Córdoba;Tercero;3,9
TODOS LOS CENTROS;AMBOS SEXOS;Córdoba;Cuarto;2,3
TODOS LOS CENTROS;AMBOS SEXOS;Granada;Total;5,7
TODOS LOS CENTROS;AMBOS SEXOS;Granada;Primero;7,2
TODOS LOS CENTROS;AMBOS SEXOS;Granada;Segundo;6
TODOS LOS CENTROS;AMBOS SEXOS;Granada;Tercero;4,9
