Universidad,Sede principal,Otras sedes,Comunidad autónoma,Fundación,Tipo
Universidad de Sevilla,Sevilla,,AndalucíaAndalucía,1505,Pública
Universidad de Granada,Granada,CeutaMelilla,AndalucíaAndalucía,1531,Pública
Universidad de Córdoba,Córdoba,Belmez,AndalucíaAndalucía,1972,Pública
Universidad de Málaga,Málaga,AntequeraRonda,AndalucíaAndalucía,1972,Pública
Universidad de Cádiz,Cádiz,AlgecirasJerez de la FronteraPuerto Real,AndalucíaAndalucía,1979,Pública
Universidad de Almería,Almería,,AndalucíaAndalucía,1993,Pública
Universidad de Huelva,Huelva,Palos de la Frontera,AndalucíaAndalucía,1993,Pública
Universidad de Jaén,Jaén,LinaresÚbeda,AndalucíaAndalucía,1993,Pública
Universidad Internacional de Andalucía,Sevilla,BaezaMálagaPalos de la Frontera,AndalucíaAndalucía,1994,Pública
Universidad Pablo de Olavide,Sevilla,Dos Hermanas,AndalucíaAndalucía,1997,Pública
Universidad Loyola,Dos Hermanas,CórdobaGranada,AndalucíaAndalucía,2011,"Privada,católica"
Universidad Tecnológica Atlántico-Mediterráneo,Málaga,,AndalucíaAndalucía,2023,"Privada,no presencial"
Universidad Fernando III,Bormujos,,AndalucíaAndalucía,2023,"Privada,católica"
Universidad de Zaragoza,Zaragoza,HuescaJacaTeruelLa Almunia de Doña Godina,AragónAragón,1542,Pública
Universidad San Jorge,Villanueva de Gállego,,AragónAragón,2005,"Privada,católica"
Universidad de Oviedo,Oviedo,GijónMieres,Principado de AsturiasPrincipado de Asturias,1608,Pública
Universidad de las Islas Baleares,Palma de Mallorca,AlayorIbiza,Islas BalearesIslas Baleares,1978,Pública
Universidad de La Laguna,San Cristóbal de La Laguna,Santa Cruz de TenerifeAdeje,CanariasCanarias,1927,Pública
Universidad de Las Palmas de Gran Canaria,Las Palmas de Gran Canaria,,CanariasCanarias,1989,Pública
Universidad Europea de Canarias,La Orotava,Santa Cruz de Tenerife,CanariasCanarias,2012,Privada
Universidad Fernando Pessoa-Canarias,Santa María de Guía de Gran Canaria,,CanariasCanarias,2014,Privada
Universidad del Atlántico Medio,Las Palmas de Gran Canaria,,CanariasCanarias,2015,Privada
Universidad de las Hespérides(Universidad Libre de Canarias),Las Palmas de Gran Canaria,,CanariasCanarias,2019,Privada
Universidad de Cantabria,Santander,,CantabriaCantabria,1972,Pública
Universidad Europea del Atlántico,Santander,,CantabriaCantabria,2013,Privada
Universidad de Castilla-La Mancha,Ciudad Real,AlbaceteAlmadénCuencaTalavera de la ReinaToledo,Castilla-La ManchaCastilla-La Mancha,1985,Pública
Universidad de Salamanca,Salamanca,ÁvilaBéjarZamora,Castilla y LeónCastilla y León,1218,Pública
Universidad de Valladolid,Valladolid,PalenciaSegoviaSoria,Castilla y LeónCastilla y León,1241,Pública
Universidad Pontificia de Salamanca,Salamanca,,Castilla y LeónCastilla y León,1940,"Privada,católica"
Universidad de León,León,Ponferrada,Castilla y LeónCastilla y León,1979,Pública
Universidad de Burgos,Burgos,,Castilla y LeónCastilla y León,1994,Pública
Universidad Católica Santa Teresa de Jesús de Ávila,Ávila,,Castilla y LeónCastilla y León,1996,"Privada,católica"
Universidad Europea Miguel de Cervantes,Valladolid,,Castilla y LeónCastilla y León,2002,Privada
Universidad IE,Segovia,Madrid,Castilla y LeónCastilla y LeónComunidad de MadridComunidad de Madrid,2008,Privada
Universidad Internacional Isabel I de Castilla,Burgos,,Castilla y LeónCastilla y León,2011,"Privada,no presencial"
Universidad de Barcelona,Barcelona,,CataluñaCataluña,1450,Pública
Universidad Autónoma de Barcelona,Sardañola del Vallés,BarcelonaSabadellSan Cugat del VallésManresa,CataluñaCataluña,1968,Pública
Universidad Politécnica de Cataluña,Barcelona,,CataluñaCataluña,1971,Pública
Universidad Pompeu Fabra,Barcelona,,CataluñaCataluña,1990,Pública
Universidad Ramon Llull,Barcelona,,CataluñaCataluña,1990,"Privada,católica"
Universidad de Gerona,Gerona,,CataluñaCataluña,1991,Pública
Universidad de Lérida,Lérida,,CataluñaCataluña,1991,Pública
Universidad Rovira i Virgili,Tarragona,ReusVilasecaTortosaVendrell,CataluñaCataluña,1991,Pública
Universidad Abierta de Cataluña,Barcelona,,CataluñaCataluña,1994,"Privada,no presencial"
Universidad Internacional de Cataluña,Barcelona,San Cugat del Vallés,CataluñaCataluña,1997,Privada
Universidad de Vic,Vic,Manresa,CataluñaCataluña,1997,Privada
Universidad Abad Oliva CEU,Barcelona,,CataluñaCataluña,2003,"Privada,católica"
Universidad de Valencia,Valencia,BurjassotPaternaOnteniente,Comunidad ValencianaComunidad Valenciana,1499,Pública
Universidad Politécnica de Valencia,Valencia,Alcoy,Comunidad ValencianaComunidad Valenciana,1971,Pública
Universidad de Alicante,San Vicente del Raspeig,,Comunidad ValencianaComunidad Valenciana,1979,Pública
Universidad Jaime I,Castellón,,Comunidad ValencianaComunidad Valenciana,1991,Pública
Universidad Miguel Hernández de Elche,Elche,AlteaOrihuela,Comunidad ValencianaComunidad Valenciana,1996,Pública
Universidad CEU Cardenal Herrera,Moncada,CastellónElche,Comunidad ValencianaComunidad Valenciana,1999,Privada
Universidad Católica de Valencia San Vicente Mártir,Valencia,,Comunidad ValencianaComunidad Valenciana,2003,"Privada,católica"
Universidad Internacional de Valencia,Valencia,,Comunidad ValencianaComunidad Valenciana,2008,"Privada,no presencial"
Universidad Europea de Valencia,Valencia,,Comunidad ValencianaComunidad Valenciana,2012,Privada
Universidad de Extremadura,Badajoz,CáceresMéridaPlasencia,ExtremaduraExtremadura,1973,Pública
Universidad de Santiago de Compostela,Santiago de Compostela,Lugo,GaliciaGalicia,1495,Pública
Universidad de La Coruña,La Coruña,Ferrol,GaliciaGalicia,1989,Pública
Universidad de Vigo,Vigo,OrensePontevedra,GaliciaGalicia,1990,Pública
Universidad Intercontinental de la Empresa,Santiago de Compostela,La CoruñaVigo,GaliciaGalicia,2021,Privada
Universidad de La Rioja,Logroño,,La RiojaLa Rioja,1992,Pública
Universidad Internacional de La Rioja,Logroño,,La RiojaLa Rioja,2008,"Privada,no presencial"
Universidad Complutense de Madrid,Madrid,,Comunidad de MadridComunidad de Madrid,1822,Pública
Universidad Pontificia Comillas,Madrid,Ciempozuelos,Comunidad de MadridComunidad de Madrid,1890,"Privada,católica"
Universidad Internacional Menéndez Pelayo,Madrid,Santander(sede histórica),Comunidad de MadridComunidad de MadridCantabriaCantabria(sede histórica),1932,Pública
Universidad Autónoma de Madrid,Madrid,,Comunidad de MadridComunidad de Madrid,1968,Pública
Universidad Politécnica de Madrid,Madrid,,Comunidad de MadridComunidad de Madrid,1971,Pública
Universidad Nacional de Educación a Distancia,Madrid,62 centros asociados enEspaña,Comunidad de MadridComunidad de Madrid,1972,"Pública,no presencial"
Universidad de Alcalá,Madrid,Guadalajara,Comunidad de MadridComunidad de MadridCastilla-La ManchaCastilla-La Mancha,1973,Pública
Universidad Carlos III de Madrid,Getafe,LeganésColmenarejoMadrid,Comunidad de MadridComunidad de Madrid,1989,Pública
Universidad Alfonso X el Sabio,Villanueva de la Cañada,Madrid,Comunidad de MadridComunidad de Madrid,1993,Privada
Universidad CEU San Pablo,Madrid,Alcorcón,Comunidad de MadridComunidad de Madrid,1993,"Privada,católica"
Universidad Francisco de Vitoria,Pozuelo de Alarcón,,Comunidad de MadridComunidad de Madrid,1993,"Privada,católica"
Universidad Antonio de Nebrija,Madrid,Hoyo de Manzanares,Comunidad de MadridComunidad de Madrid,1995,Privada
Universidad Europea de Madrid,Villaviciosa de Odón,AlcobendasMadrid,Comunidad de MadridComunidad de Madrid,1995,Privada
Universidad Rey Juan Carlos,Móstoles,AlcorcónAranjuezFuenlabradaMadrid,Comunidad de MadridComunidad de Madrid,1996,Pública
Universidad Camilo José Cela,Villanueva de la Cañada,,Comunidad de MadridComunidad de Madrid,1998,Privada
Universidad a Distancia de Madrid,Collado Villalba,,Comunidad de MadridComunidad de Madrid,2006,"Privada,no presencial"
Universidad Eclesiástica San Dámaso,Madrid,,Comunidad de MadridComunidad de Madrid,2011,"Privada,eclesiástica"
ESIC Universidad,Pozuelo de Alarcón,,Comunidad de MadridComunidad de Madrid,2019,Privada
Universidad Internacional Villanueva,Madrid,,Comunidad de MadridComunidad de Madrid,2019,"Privada,católica"
CUNEF Universidad,Madrid,,Comunidad de MadridComunidad de Madrid,2019,Privada
Universidad Internacional de la Empresa,Madrid,,Comunidad de MadridComunidad de Madrid,2020,Privada
"Universidad de Diseño, Innovación y Tecnología",Madrid,,Comunidad de MadridComunidad de Madrid,2022,Privada
Universidad de Murcia,Murcia,LorcaSan Javier,Región de MurciaRegión de Murcia,1914,Pública
Universidad Católica San Antonio,Murcia,,Región de MurciaRegión de Murcia,1996,"Privada,católica"
Universidad Politécnica de Cartagena,Cartagena,,Región de MurciaRegión de Murcia,1998,Pública
